catalog,po,line,severity,rule,message,source,plural_source,translations,findings_in_same_entry
locale-langpack/devscripts,po/locale-langpack/devscripts.po,780,warning,newline-mismatch,"Newline count mismatch: source has 7, translation has 4","  Source: https://api.github.com/repos/ImageMagick/ImageMagick/git/matching-refs/tags/
  Matching-Pattern: https://api.github.com/repos/[^/]+/[^/]+/git/refs/tags/@ANY_VERSION@
  Download-Url-Mangle: s%(api.github.com/repos/[^/]+/[^/]+)/git/refs/.*%$1/tarball/0123456789abcdf01234567890abcef012345678%g
  Filename-Mangle: s%.*%1.2.3~git.tar.gz%
  Oversion-Mangle: s/.*/1.2.3~git/g
  Search-Mode: plain

",,"{""None"": ""  Källa: https://api.github.com/repos/ImageMagick/ImageMagick/git/matching-refs/tags/ Matchande mönster: https://api.github.com/repos/[^/]+/[^/]+/git/refs/tags/@ANY_VERSION@\n  Download-Url-Mangle: s%(api.github.com/repos/[^/]+/[^/]+)/git/refs/.*%$1/tarball/0123456789abcdf01234567890abcef012345678%g\n  Filnamn-Mangle: s%.*%1.2.3~git.tar.gz% Oversion-Mangle: s/.*/1.2.3~git/g Sök-läge: vanligt\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,794,info,currency-localization,Currency format may need localization,"  Source: https://codeberg.org/api/v1/repos/<user>/<project>/releases
  Matching-Pattern: https://codeberg.org/<user>/<project>/archive/[^""-_v]*@ANY_VERSION@@ARCHIVE_EXT@
  Search-Mode: plain
  Filename-Mangle: s%.*/[^""-_v]*@ANY_VERSION@%@PACKAGE@-$1%

",,"{""None"": ""  Källa: https://codeberg.org/api/v1/repos/<användare>/<projekt>/releases\n  Matchande mönster: https://codeberg.org/<användare>/<projekt>/archive/[^\""-_v]*@ANY_VERSION@@ARCHIVE_EXT@\n  Sökmodus: vanlig\n  Filnamn-Mangle: s%.*/[^\""-_v]*@ANY_VERSION@%@PACKAGE@-$1%\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,794,warning,xml-tags-mismatch,"XML/HTML tags mismatch: source has ['<project>', '<project>', '<user>', '<user>'], translation has ['<projekt>', '<projekt>']","  Source: https://codeberg.org/api/v1/repos/<user>/<project>/releases
  Matching-Pattern: https://codeberg.org/<user>/<project>/archive/[^""-_v]*@ANY_VERSION@@ARCHIVE_EXT@
  Search-Mode: plain
  Filename-Mangle: s%.*/[^""-_v]*@ANY_VERSION@%@PACKAGE@-$1%

",,"{""None"": ""  Källa: https://codeberg.org/api/v1/repos/<användare>/<projekt>/releases\n  Matchande mönster: https://codeberg.org/<användare>/<projekt>/archive/[^\""-_v]*@ANY_VERSION@@ARCHIVE_EXT@\n  Sökmodus: vanlig\n  Filnamn-Mangle: s%.*/[^\""-_v]*@ANY_VERSION@%@PACKAGE@-$1%\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,807,warning,xml-tags-mismatch,"XML/HTML tags mismatch: source has ['<project>', '<project>', '<user>', '<user>'], translation has ['<projekt>', '<projekt>']","  Source: https://codeberg.org/api/v1/repos/<user>/<project>/releases
  Matching-Pattern: https://codeberg.org/<user>/<project>/releases/download/[^/-_v]*@ANY_VERSION@/[^""]*@ARCHIVE_EXT@
  Search-Mode: plain

",,"{""None"": ""  Källa: https://codeberg.org/api/v1/repos/<användare>/<projekt>/releases\n  Matchande mönster: https://codeberg.org/<användare>/<projekt>/releases/download/[^/-_v]*@ANY_VERSION@/[^\""]*@ARCHIVE_EXT@\n  Sökläge: vanlig\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,818,info,currency-localization,Currency format may need localization,"  Source: https://codeberg.org/api/v1/repos/<user>/<project>/tags
  Matching-Pattern: https://codeberg.org/<user>/<project>/archive/[^""-_v]*@ANY_VERSION@@ARCHIVE_EXT@
  Search-Mode: plain
  Filename-Mangle: s%.*/[^""-_v]*@ANY_VERSION@%@PACKAGE@-$1%

",,"{""None"": ""  Källa: https://codeberg.org/api/v1/repos/<användare>/<projekt>/tags\n  Matching-Pattern: https://codeberg.org/<användare>/<projekt>/archive/[^\""-_v]*@ANY_VERSION@@ARCHIVE_EXT@\n  Search-Mode: plain\n  Filename-Mangle: s%.*/[^\""-_v]*@ANY_VERSION@%@PACKAGE@-$1%\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,818,warning,xml-tags-mismatch,"XML/HTML tags mismatch: source has ['<project>', '<project>', '<user>', '<user>'], translation has ['<projekt>', '<projekt>']","  Source: https://codeberg.org/api/v1/repos/<user>/<project>/tags
  Matching-Pattern: https://codeberg.org/<user>/<project>/archive/[^""-_v]*@ANY_VERSION@@ARCHIVE_EXT@
  Search-Mode: plain
  Filename-Mangle: s%.*/[^""-_v]*@ANY_VERSION@%@PACKAGE@-$1%

",,"{""None"": ""  Källa: https://codeberg.org/api/v1/repos/<användare>/<projekt>/tags\n  Matching-Pattern: https://codeberg.org/<användare>/<projekt>/archive/[^\""-_v]*@ANY_VERSION@@ARCHIVE_EXT@\n  Search-Mode: plain\n  Filename-Mangle: s%.*/[^\""-_v]*@ANY_VERSION@%@PACKAGE@-$1%\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,831,error,escaped-chars-mismatch,Escape character count mismatch: \n: 4→2,"  Source: https://github.com/Debian/dh-make-golang
  Matching-Pattern: HEAD
  Mode: git

",,"{""None"": ""  Källa: https://github.com/Debian/dh-make-golang Matchande mönster: HEAD Läge: git\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,831,warning,newline-mismatch,"Newline count mismatch: source has 4, translation has 2","  Source: https://github.com/Debian/dh-make-golang
  Matching-Pattern: HEAD
  Mode: git

",,"{""None"": ""  Källa: https://github.com/Debian/dh-make-golang Matchande mönster: HEAD Läge: git\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,870,error,escaped-chars-mismatch,Escape character count mismatch: \n: 3→2,"  Source: https://keeped-site-to-be-used-later/
  Matching-Pattern: .*@ANY_VERSION@@ARCHIVE_EXT@

",,"{""None"": ""  Källa: https://keeped-site-to-be-used-later/ Matchande mönster: .*@ANY_VERSION@@ARCHIVE_EXT@\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,870,warning,newline-mismatch,"Newline count mismatch: source has 3, translation has 2","  Source: https://keeped-site-to-be-used-later/
  Matching-Pattern: .*@ANY_VERSION@@ARCHIVE_EXT@

",,"{""None"": ""  Källa: https://keeped-site-to-be-used-later/ Matchande mönster: .*@ANY_VERSION@@ARCHIVE_EXT@\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,878,warning,xml-tags-mismatch,"XML/HTML tags mismatch: source has ['<initial>', '<project>', '<tar>'], translation has ['<initial>', '<projekt>', '<tar>']","  Source: https://pypi.python.org/packages/source/<initial>/<project>/
  Matching-Pattern: <tar-name>-@ANY_VERSION@@ARCHIVE_EXT@

",,"{""None"": ""  Källa: https://pypi.python.org/packages/source/<initial>/<projekt>/\n  Matching-Pattern: <tar-name>-@ANY_VERSION@@ARCHIVE_EXT@\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,887,error,escaped-chars-mismatch,Escape character count mismatch: \n: 3→2,"  Source: https://pypi.python.org/packages/source/c/cfn-sphere/
  Matching-Pattern: cfn-sphere-@ANY_VERSION@@ARCHIVE_EXT@

",,"{""None"": ""  Källa: https://pypi.python.org/packages/source/c/cfn-sphere/ Matchande mönster: cfn-sphere-@ANY_VERSION@@ARCHIVE_EXT@\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,887,warning,newline-mismatch,"Newline count mismatch: source has 3, translation has 2","  Source: https://pypi.python.org/packages/source/c/cfn-sphere/
  Matching-Pattern: cfn-sphere-@ANY_VERSION@@ARCHIVE_EXT@

",,"{""None"": ""  Källa: https://pypi.python.org/packages/source/c/cfn-sphere/ Matchande mönster: cfn-sphere-@ANY_VERSION@@ARCHIVE_EXT@\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,895,error,escaped-chars-mismatch,Escape character count mismatch: \n: 3→2,"  Source: https://pypi.python.org/pypi/cfn-sphere/
  Matching-Pattern: https://pypi.python.org/packages/.*/.*/.*/cfn-sphere-@ANY_VERSION@@ARCHIVE_EXT@#.*

",,"{""None"": ""  Källa: https://pypi.python.org/pypi/cfn-sphere/ Matchande mönster: https://pypi.python.org/packages/.*/.*/.*/cfn-sphere-@ANY_VERSION@@ARCHIVE_EXT@#.*\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,895,warning,newline-mismatch,"Newline count mismatch: source has 3, translation has 2","  Source: https://pypi.python.org/pypi/cfn-sphere/
  Matching-Pattern: https://pypi.python.org/packages/.*/.*/.*/cfn-sphere-@ANY_VERSION@@ARCHIVE_EXT@#.*

",,"{""None"": ""  Källa: https://pypi.python.org/pypi/cfn-sphere/ Matchande mönster: https://pypi.python.org/packages/.*/.*/.*/cfn-sphere-@ANY_VERSION@@ARCHIVE_EXT@#.*\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,903,error,escaped-chars-mismatch,Escape character count mismatch: \n: 4→2,"  Source: https://registry.npmjs.org/mongodb
  Matching-Pattern: https://registry.npmjs.org/mongodb/-/mongodb-@ANY_VERSION@@ARCHIVE_EXT@
  Search-Mode: plain

",,"{""None"": ""  Källa: https://registry.npmjs.org/mongodb Matchande mönster: https://registry.npmjs.org/mongodb/-/mongodb-@ANY_VERSION@@ARCHIVE_EXT@ Sökmodus: vanlig\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,903,warning,newline-mismatch,"Newline count mismatch: source has 4, translation has 2","  Source: https://registry.npmjs.org/mongodb
  Matching-Pattern: https://registry.npmjs.org/mongodb/-/mongodb-@ANY_VERSION@@ARCHIVE_EXT@
  Search-Mode: plain

",,"{""None"": ""  Källa: https://registry.npmjs.org/mongodb Matchande mönster: https://registry.npmjs.org/mongodb/-/mongodb-@ANY_VERSION@@ARCHIVE_EXT@ Sökmodus: vanlig\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,912,error,escaped-chars-mismatch,Escape character count mismatch: \n: 6→2,"  Source: https://salsa.debian.org/debian/devscripts
  Mode: gitlab
  Matching-Pattern: @STABLE_VERSION@
  Pgp-Mode: none
  Filename-Mangle: s/.*(@ARCHIVE_EXT@)/@PACKAGE@.tar.gz/

",,"{""None"": ""  Källa: https://salsa.debian.org/debian/devscripts Läge: gitlab Matchande mönster: @STABLE_VERSION@ Pgp-läge: ingen Filnamnsförvrängning: s/.*(@ARCHIVE_EXT@)/@PACKAGE@.tar.gz/\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,912,warning,newline-mismatch,"Newline count mismatch: source has 6, translation has 2","  Source: https://salsa.debian.org/debian/devscripts
  Mode: gitlab
  Matching-Pattern: @STABLE_VERSION@
  Pgp-Mode: none
  Filename-Mangle: s/.*(@ARCHIVE_EXT@)/@PACKAGE@.tar.gz/

",,"{""None"": ""  Källa: https://salsa.debian.org/debian/devscripts Läge: gitlab Matchande mönster: @STABLE_VERSION@ Pgp-läge: ingen Filnamnsförvrängning: s/.*(@ARCHIVE_EXT@)/@PACKAGE@.tar.gz/\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,923,warning,xml-tags-mismatch,"XML/HTML tags mismatch: source has ['<project>', '<tar>'], translation has ['<projekt>', '<tar>']","  Source: https://sf.net/<project>/
  Matching-Pattern: <tar-name>-@ANY_VERSION@@ARCHIVE_EXT@

",,"{""None"": ""  Källa: https://sf.net/<projekt>/\n  Matchande mönster: <tar-name>-@ANY_VERSION@@ARCHIVE_EXT@\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,932,error,escaped-chars-mismatch,Escape character count mismatch: \n: 3→2,"  Source: https://sf.net/audacity/
  Matching-Pattern: audacity-minsrc-@ANY_VERSION@@ARCHIVE_EXT@

",,"{""None"": ""  Källa: https://sf.net/audacity/ Matchande mönster: audacity-minsrc-@ANY_VERSION@@ARCHIVE_EXT@\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,932,warning,newline-mismatch,"Newline count mismatch: source has 3, translation has 2","  Source: https://sf.net/audacity/
  Matching-Pattern: audacity-minsrc-@ANY_VERSION@@ARCHIVE_EXT@

",,"{""None"": ""  Källa: https://sf.net/audacity/ Matchande mönster: audacity-minsrc-@ANY_VERSION@@ARCHIVE_EXT@\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,940,error,escaped-chars-mismatch,Escape character count mismatch: \n: 4→2,"  Source: svn://svn.code.sf.net/p/jmol/code/tags/
  Matching-Pattern: @ANY_VERSION@\/
  Mode: svn

",,"{""None"": ""  Källa: svn://svn.code.sf.net/p/jmol/code/tags/ Matchande mönster: @ANY_VERSION@\\/ Läge: svn\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,940,warning,newline-mismatch,"Newline count mismatch: source has 4, translation has 2","  Source: svn://svn.code.sf.net/p/jmol/code/tags/
  Matching-Pattern: @ANY_VERSION@\/
  Mode: svn

",,"{""None"": ""  Källa: svn://svn.code.sf.net/p/jmol/code/tags/ Matchande mönster: @ANY_VERSION@\\/ Läge: svn\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,949,error,escaped-chars-mismatch,Escape character count mismatch: \n: 4→2,"  Source: svn://svn.code.sf.net/p/jmol/code/trunk/
  Matching-Pattern: HEAD
  Mode: svn

",,"{""None"": ""  Källa: svn://svn.code.sf.net/p/jmol/code/trunk/ Matchande mönster: HEAD Läge: svn\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,949,warning,newline-mismatch,"Newline count mismatch: source has 4, translation has 2","  Source: svn://svn.code.sf.net/p/jmol/code/trunk/
  Matching-Pattern: HEAD
  Mode: svn

",,"{""None"": ""  Källa: svn://svn.code.sf.net/p/jmol/code/trunk/ Matchande mönster: HEAD Läge: svn\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,978,error,escaped-chars-mismatch,Escape character count mismatch: \n: 3→2,"  Template: GitLab
  Dist: https://salsa.debian.org/debian/devscripts

",,"{""None"": ""  Mall: GitLab Dist: https://salsa.debian.org/debian/devscripts\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,978,warning,newline-mismatch,"Newline count mismatch: source has 3, translation has 2","  Template: GitLab
  Dist: https://salsa.debian.org/debian/devscripts

",,"{""None"": ""  Mall: GitLab Dist: https://salsa.debian.org/debian/devscripts\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,986,error,escaped-chars-mismatch,Escape character count mismatch: \n: 3→2,"  Template: Npmregistry
  Dist: @lemonldap/handler

",,"{""None"": ""  Mall: Npmregistry Dist: @lemonldap/handler\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,986,warning,newline-mismatch,"Newline count mismatch: source has 3, translation has 2","  Template: Npmregistry
  Dist: @lemonldap/handler

",,"{""None"": ""  Mall: Npmregistry Dist: @lemonldap/handler\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,994,warning,inconsistent-punctuation,Missing ending punctuation (source ends with '.'),"  The helper tools that do create those repositories should use a command like
  git symbolic-ref HEAD refs/heads/debian/latest to update HEAD to point to the
  desired branch.
",,"{""None"": ""  De hjälpverktyg som skapar dessa arkiv bör använda ett kommando som git symbolic-ref HEAD refs/heads/debian/latest för att uppdatera HEAD så att det pekar på önskad gren\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,994,error,escaped-chars-mismatch,Escape character count mismatch: \n: 3→1,"  The helper tools that do create those repositories should use a command like
  git symbolic-ref HEAD refs/heads/debian/latest to update HEAD to point to the
  desired branch.
",,"{""None"": ""  De hjälpverktyg som skapar dessa arkiv bör använda ett kommando som git symbolic-ref HEAD refs/heads/debian/latest för att uppdatera HEAD så att det pekar på önskad gren\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,994,warning,newline-mismatch,"Newline count mismatch: source has 3, translation has 1","  The helper tools that do create those repositories should use a command like
  git symbolic-ref HEAD refs/heads/debian/latest to update HEAD to point to the
  desired branch.
",,"{""None"": ""  De hjälpverktyg som skapar dessa arkiv bör använda ett kommando som git symbolic-ref HEAD refs/heads/debian/latest för att uppdatera HEAD så att det pekar på önskad gren\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,994,warning,end-stop-mismatch,Source ends with period but translation does not,"  The helper tools that do create those repositories should use a command like
  git symbolic-ref HEAD refs/heads/debian/latest to update HEAD to point to the
  desired branch.
",,"{""None"": ""  De hjälpverktyg som skapar dessa arkiv bör använda ett kommando som git symbolic-ref HEAD refs/heads/debian/latest för att uppdatera HEAD så att det pekar på önskad gren\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,1009,info,source-equals-translation,Translation is identical to source (possibly untranslated),"  Version: 5

",,"{""None"": ""  Version: 5\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,1016,error,escaped-chars-mismatch,Escape character count mismatch: \n: 3→2,"  Version: 5
  Untrackable: temporarily I don't want to update this

",,"{""None"": ""  Version: 5 Spårbar: tillfälligt vill jag inte uppdatera detta\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,1016,warning,newline-mismatch,"Newline count mismatch: source has 3, translation has 2","  Version: 5
  Untrackable: temporarily I don't want to update this

",,"{""None"": ""  Version: 5 Spårbar: tillfälligt vill jag inte uppdatera detta\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,1024,error,escaped-chars-mismatch,Escape character count mismatch: \n: 3→2,"  Version: 5
  Version-Schema: checksum

",,"{""None"": ""  Version: 5 Versionsschema: kontrollsumma\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,1024,warning,newline-mismatch,"Newline count mismatch: source has 3, translation has 2","  Version: 5
  Version-Schema: checksum

",,"{""None"": ""  Version: 5 Versionsschema: kontrollsumma\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,1032,error,escaped-chars-mismatch,Escape character count mismatch: \n: 3→2,"  Version: 5
  Version-Schema: group

",,"{""None"": ""  Version: 5 Versionsschema: grupp\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,1032,warning,newline-mismatch,"Newline count mismatch: source has 3, translation has 2","  Version: 5
  Version-Schema: group

",,"{""None"": ""  Version: 5 Versionsschema: grupp\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,1068,error,escaped-chars-mismatch,Escape character count mismatch: \n: 3→2,"  _completion_loader salsa
  complete -F _salsa_completion jsteam_admin

",,"{""None"": ""  _completion_loader salsa complete -F _salsa_completion jsteam_admin\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,1068,warning,newline-mismatch,"Newline count mismatch: source has 3, translation has 2","  _completion_loader salsa
  complete -F _salsa_completion jsteam_admin

",,"{""None"": ""  _completion_loader salsa complete -F _salsa_completion jsteam_admin\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,1076,info,source-equals-translation,Translation is identical to source (possibly untranslated),"  alias jsteam_admin=""salsa --conf-file +~/.js.conf

",,"{""None"": ""  alias jsteam_admin=\""salsa --conf-file +~/.js.conf\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,1083,info,source-equals-translation,Translation is identical to source (possibly untranslated),"  alias jsteam_admin=""salsa --conf-file ~/.js.conf

",,"{""None"": ""  alias jsteam_admin=\""salsa --conf-file ~/.js.conf\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,1090,info,source-equals-translation,Translation is identical to source (possibly untranslated),"  alias jsteam_admin=""salsa --group js-team""

",,"{""None"": ""  alias jsteam_admin=\""salsa --group js-team\""\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,1097,info,source-equals-translation,Translation is identical to source (possibly untranslated),"  alias jsteam_admin=""salsa --group-id 2666""

",,"{""None"": ""  alias jsteam_admin=\""salsa --group-id 2666\""\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,1104,info,source-equals-translation,Translation is identical to source (possibly untranslated),"  alias llng_admin='salsa --conffile ~/.salsa-ow2.conf'

",,"{""None"": ""  alias llng_admin='salsa --conffile ~/.salsa-ow2.conf'\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,1111,info,source-equals-translation,Translation is identical to source (possibly untranslated),"  bts -o bugs
  bts -o show 12345

",,"{""None"": ""  bts -o bugs\n  bts -o show 12345\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,1120,error,escaped-chars-mismatch,Escape character count mismatch: \n: 4→2,"  dget https://mentors.debian.net/debian/pool/main/m/mypackage/mypackage_1.2-3.dsc
  apt-get source mypackage=1.2-2
  debdiff --from mypackage_1.2-2.dsc --to mypackage_1.2-3.dsc

",,"{""None"": ""  dget https://mentors.debian.net/debian/pool/main/m/mypackage/mypackage_1.2-3.dsc apt-get source mypackage=1.2-2 debdiff --from mypackage_1.2-2.dsc --to mypackage_1.2-3.dsc\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,1120,warning,newline-mismatch,"Newline count mismatch: source has 4, translation has 2","  dget https://mentors.debian.net/debian/pool/main/m/mypackage/mypackage_1.2-3.dsc
  apt-get source mypackage=1.2-2
  debdiff --from mypackage_1.2-2.dsc --to mypackage_1.2-3.dsc

",,"{""None"": ""  dget https://mentors.debian.net/debian/pool/main/m/mypackage/mypackage_1.2-3.dsc apt-get source mypackage=1.2-2 debdiff --from mypackage_1.2-2.dsc --to mypackage_1.2-3.dsc\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,1129,info,source-equals-translation,Translation is identical to source (possibly untranslated),"  dpkg-depcheck --all dpkg-buildpackage -us -uc -b -rfakeroot ...
",,"{""None"": ""  dpkg-depcheck --all dpkg-buildpackage -us -uc -b -rfakeroot ...\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,1129,info,ellipsis,Use typographic ellipsis (…) instead of three dots (...),"  dpkg-depcheck --all dpkg-buildpackage -us -uc -b -rfakeroot ...
",,"{""None"": ""  dpkg-depcheck --all dpkg-buildpackage -us -uc -b -rfakeroot ...\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,1132,info,ellipsis,Use typographic ellipsis (…) instead of three dots (...),"  dpkg-depcheck -b dpkg-buildpackage -us -uc -b -rfakeroot [arg ...]
",,"{""None"": ""  dpkg-depcheck -b dpkg-buildpackage -us -uc -b -rfakeroot [arg ...]\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,1142,error,escaped-chars-mismatch,Escape character count mismatch: \n: 5→2,"  mkdir previous latest
  (cd latest && dget --all mypackage=1.2-1)
  (cd previous && dget --all mypackage) # download latest 1.2-2 in this example
  diffoscope --html=diffoscope.html previous/ latest/

",,"{""None"": ""  mkdir previous latest (cd latest && dget --all mypackage=1.2-1) (cd previous && dget --all mypackage) # ladda ner senaste 1.2-2 i detta exempel diffoscope --html=diffoscope.html previous/ latest/\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,1142,warning,newline-mismatch,"Newline count mismatch: source has 5, translation has 2","  mkdir previous latest
  (cd latest && dget --all mypackage=1.2-1)
  (cd previous && dget --all mypackage) # download latest 1.2-2 in this example
  diffoscope --html=diffoscope.html previous/ latest/

",,"{""None"": ""  mkdir previous latest (cd latest && dget --all mypackage=1.2-1) (cd previous && dget --all mypackage) # ladda ner senaste 1.2-2 i detta exempel diffoscope --html=diffoscope.html previous/ latest/\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,1152,info,source-equals-translation,Translation is identical to source (possibly untranslated),"  salsa --chdir ~/debian checkout debian/libapache2-mod-fcgid

",,"{""None"": ""  salsa --chdir ~/debian checkout debian/libapache2-mod-fcgid\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,1159,info,ellipsis,Use typographic ellipsis (…) instead of three dots (...),"  salsa --conf-file +test.conf <command>...
  salsa --conf-file +test.conf --conf-file +test2.conf  <command>...

",,"{""None"": ""  salsa --conf-file +test.conf <command>...\n  salsa --conf-file +test.conf --conf-file +test2.conf <command> ..\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,1168,info,ellipsis,Use typographic ellipsis (…) instead of three dots (...),"  salsa --conf-file test.conf <command>...
  salsa --conf-file test.conf --conf-file test2.conf  <command>...

",,"{""None"": ""  salsa --conf-file test.conf <command>...\n  salsa --conf-file test.conf --conf-file test2.conf <command> ..\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,1177,error,escaped-chars-mismatch,Escape character count mismatch: \n: 4→2,"  salsa --group js-group add_user guest foouser
  salsa --group-id 1234 add_user guest foouser
  salsa --group-id 1234 add_user maintainer 1245

",,"{""None"": ""  salsa --group js-group add_user guest foouser salsa --group-id 1234 add_user guest foouser salsa --group-id 1234 add_user maintainer 1245\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,1177,warning,newline-mismatch,"Newline count mismatch: source has 4, translation has 2","  salsa --group js-group add_user guest foouser
  salsa --group-id 1234 add_user guest foouser
  salsa --group-id 1234 add_user maintainer 1245

",,"{""None"": ""  salsa --group js-group add_user guest foouser salsa --group-id 1234 add_user guest foouser salsa --group-id 1234 add_user maintainer 1245\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,1186,error,escaped-chars-mismatch,Escape character count mismatch: \n: 3→2,"  salsa --group js-team delete_user foouser
  salsa --group-id=1234 delete_user foouser

",,"{""None"": ""  salsa --group js-team delete_user foouser salsa --group-id=1234 delete_user foouser\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,1186,warning,newline-mismatch,"Newline count mismatch: source has 3, translation has 2","  salsa --group js-team delete_user foouser
  salsa --group-id=1234 delete_user foouser

",,"{""None"": ""  salsa --group js-team delete_user foouser salsa --group-id=1234 delete_user foouser\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,1194,error,escaped-chars-mismatch,Escape character count mismatch: \n: 4→2,"  salsa --group js-team last_ci_status --all --no-fail
  salsa --user yadd last_ci_status foo
  salsa last_ci_status js-team/nodejs

",,"{""None"": ""  salsa --group js-team last_ci_status --all --no-fail salsa --user yadd last_ci_status foo salsa last_ci_status js-team/nodejs\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,1194,warning,newline-mismatch,"Newline count mismatch: source has 4, translation has 2","  salsa --group js-team last_ci_status --all --no-fail
  salsa --user yadd last_ci_status foo
  salsa last_ci_status js-team/nodejs

",,"{""None"": ""  salsa --group js-team last_ci_status --all --no-fail salsa --user yadd last_ci_status foo salsa last_ci_status js-team/nodejs\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,1203,info,source-equals-translation,Translation is identical to source (possibly untranslated),"  salsa --group js-team last_ci_status --all --no-fail >/dev/null

",,"{""None"": ""  salsa --group js-team last_ci_status --all --no-fail >/dev/null\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,1210,error,escaped-chars-mismatch,Escape character count mismatch: \n: 3→2,"  salsa --group js-team list_projects
  salsa --user yadd list_projects foo*

",,"{""None"": ""  salsa --group js-team list_projects salsa --user yadd list_projects foo*\n\n""}",
locale-langpack/devscripts,po/locale-langpack/devscripts.po,1210,warning,newline-mismatch,"Newline count mismatch: source has 3, translation has 2","  salsa --group js-team list_projects
  salsa --user yadd list_projects foo*

",,"{""None"": ""  salsa --group js-team list_projects salsa --user yadd list_projects foo*\n\n""}",
