195735154	abs_action_browse	Browse	Bläddra
196591297	music_sort_field_name	Name	Namn
196591298	music_sort_field_album	Album	Album
196591299	music_sort_field_album_artist	Album artist	Albumartist
196591300	music_sort_field_artist	Artist	Artist
196983406	services_hub_address_hint	These are different ways to reach the same %1$s - home Wi-Fi, remote, or VPN. Adding one here doesn't add a new server.	Det här är olika sätt att nå samma %1$s – Wi-Fi hemma, på distans eller via VPN. Att lägga till ett här lägger inte till en ny server.
200480850	pause_screen_delay_instant	Instant	Omedelbart
200480851	pause_screen_delay_seconds_fmt	%1$ds	%1$ds
200508869	pref_chapter_skip_gesture_title	Chapter skip gesture	Gest för kapitelhopp
200508870	pref_chapter_skip_gesture_summary	Long-press the left or right edge to skip chapters (middle keeps 2× speed)	Håll vänster eller höger kant nedtryckt för att hoppa över kapitel (mitten behåller hastigheten 2×)
200508871	pref_edit_mpv_conf_title	Edit mpv.conf	Redigera mpv.conf
200508872	pref_edit_input_conf_title	Edit input.conf	Redigera input.conf
200508873	pref_edit_config_summary	Advanced MPV configuration	Avancerad MPV-konfiguration
200508874	mpv_conf_editor_note	Changes apply the next time you start playback	Ändringarna tillämpas nästa gång du startar uppspelning
200510750	media_language_none	No language	Inget språk
200510751	media_language_unidentified	Unidentified	Oidentifierat
200569246	home_because_you_liked	Because you liked %1$s	Eftersom du gillade %1$s
200569247	home_directed_by_from_watched	Directed by %1$s because you watched %2$s	Regisserad av %1$s eftersom du såg %2$s
200569248	home_written_by_from_watched	Written by %1$s because you watched %2$s	Skriven av %1$s eftersom du såg %2$s
200569249	home_watch_again	Watch Again	Se igen
200569250	pref_edit_input_conf_summary	Bind commands to gestures	Koppla kommandon till gester
200587972	custom_sections_title	Custom Home Sections	Anpassade startsidesektioner
200587973	custom_sections_group_rows	Built-in rows	Inbyggda rader
200587974	custom_sections_rows_caption	Shown at the top, in this order. Turn off any you don't use.	Visas överst i denna ordning. Stäng av de rader du inte använder.
200587975	custom_sections_yours_caption	Your own rows, shown above the generated ones. Drag to reorder, tap to edit.	Dina egna rader visas ovanför de automatiskt skapade. Dra för att ändra ordning och tryck för att redigera.
200587976	custom_sections_discovery_caption	Rows built from your library. They change each time you open the app.	Rader skapade från ditt bibliotek. De ändras varje gång du öppnar appen.
200587977	custom_sections_group_discovery	Discovery	Upptäck
200587978	custom_sections_group_yours	Your rows	Dina rader
200587980	custom_sections_field_density	Density	Täthet
200587981	custom_sections_advanced	Advanced	Avancerat
200587982	custom_sections_advanced_summary	How many rows of each type to build. Set a type to 0 to turn it off.	Hur många rader av varje typ som ska skapas. Sätt en typ till 0 för att stänga av den.
200587983	discovery_density_light	Light	Gles
200587984	discovery_density_balanced	Balanced	Balanserad
200587985	discovery_density_full	Full	Full
200587989	discovery_off	Off	Av
200587991	discovery_section_genres	Genres	Genrer
